name         component                            version
d990c7a69503 opensearch-alerting                  3.4.0.0
d990c7a69503 opensearch-anomaly-detection         3.4.0.0
d990c7a69503 opensearch-asynchronous-search       3.4.0.0
d990c7a69503 opensearch-cross-cluster-replication 3.4.0.0
d990c7a69503 opensearch-custom-codecs             3.4.0.0
d990c7a69503 opensearch-flow-framework            3.4.0.0
d990c7a69503 opensearch-geospatial                3.4.0.0
d990c7a69503 opensearch-index-management          3.4.0.0
d990c7a69503 opensearch-job-scheduler             3.4.0.0
d990c7a69503 opensearch-knn                       3.4.0.0
d990c7a69503 opensearch-ltr                       3.4.0.0
d990c7a69503 opensearch-ml                        3.4.0.0
d990c7a69503 opensearch-neural-search             3.4.0.0
d990c7a69503 opensearch-notifications             3.4.0.0
d990c7a69503 opensearch-notifications-core        3.4.0.0
d990c7a69503 opensearch-observability             3.4.0.0
d990c7a69503 opensearch-performance-analyzer      3.4.0.0
d990c7a69503 opensearch-reports-scheduler         3.4.0.0
d990c7a69503 opensearch-search-relevance          3.4.0.0
d990c7a69503 opensearch-security                  3.4.0.0
d990c7a69503 opensearch-security-analytics        3.4.0.0
d990c7a69503 opensearch-skills                    3.4.0.0
d990c7a69503 opensearch-sql                       3.4.0.0
d990c7a69503 opensearch-system-templates          3.4.0.0
d990c7a69503 opensearch-ubi                       3.4.0.0
d990c7a69503 query-insights                       3.4.0.0
